INSERT INTO oceny (user_id, temat, przedmiot, wartosc, data_wystawienia) VALUES('101', 'Kartkówka', 'Język Francuski', '3', '2016-09-14 08:10:19'), 
('101', 'Praca dodatkowa', 'Język Angielski', '1', '2016-12-20 20:50:14'), 
('102', 'Zachowanie', 'Geografia', '2', '2016-12-03 14:27:23'), 
('102', 'Egzamin', 'Język Polski', '2', '2016-11-16 18:11:47'), 
('102', 'Zachowanie', 'Język Francuski', '2', '2016-12-12 17:52:27'), 
('102', 'Zachowanie', 'Fizyka', '5', '2016-10-23 04:11:25'), 
('102', 'Aktywność na lekcji', 'Zajęcia Artystyczne', '1', '2016-12-30 02:04:54'), 
('102', 'Projekt', 'Język Francuski', '2', '2016-12-08 10:29:40'), 
('102', 'Egzamin', 'Informatyka', '5', '2016-11-24 09:17:59'), 
('102', 'Odpowiedź ustna', 'Wiedza o Społeczeństwie', '1', '2017-01-14 08:28:58'), 
('102', 'Kartkówka', 'Język Francuski', '6', '2016-11-14 19:35:20'), 
('102', 'Zachowanie', 'Język Rosyjski', '2', '2017-01-18 02:04:23'), 
('102', 'Zachowanie', 'Chemia', '5', '2016-11-09 22:16:23'), 
('102', 'Praca dodatkowa', 'Technika', '4', '2016-11-26 18:03:59'), 
('102', 'Egzamin', 'Religia', '6', '2016-12-23 23:37:26'), 
('102', 'Odpowiedź ustna', 'Biologia', '3', '2016-11-17 18:53:33'), 
('102', 'Sprawdzian', 'Godzina Wychowawcza', '3', '2017-01-30 01:44:17'), 
('102', 'Aktywność na lekcji', 'Religia', '2', '2016-12-17 21:27:15'), 
('102', 'Kartkówka', 'Język Rosyjski', '4', '2016-10-08 07:13:05'), 
('102', 'Odpowiedź ustna', 'Zajęcia Artystyczne', '1', '2016-09-15 19:52:50'), 
('102', 'Odpowiedź ustna', 'Godzina Wychowawcza', '4', '2016-10-29 16:05:36'), 
('102', 'Zachowanie', 'Plastyka', '5', '2016-10-06 08:32:26'), 
('102', 'Egzamin', 'Geografia', '2', '2016-09-28 11:16:11'), 
('102', 'Kartkówka', 'Język Francuski', '2', '2016-09-26 20:52:46'), 
('102', 'Aktywność na lekcji', 'Język Francuski', '3', '2017-01-23 05:25:37'), 
('102', 'Aktywność na lekcji', 'Matematyka', '5', '2016-09-18 17:28:29'), 
('102', 'Kartkówka', 'Fizyka', '5', '2017-01-03 22:43:12'), 
('103', 'Projekt', 'Język Francuski', '5', '2016-09-23 03:01:14'), 
('103', 'Sprawdzian', 'Wychowanie do Życia w Rodzinie', '1', '2016-10-10 22:36:45'), 
('103', 'Kartkówka', 'Język Angielski', '4', '2016-11-30 08:46:14'), 
('103', 'Aktywność na lekcji', 'Chemia', '1', '2016-12-17 22:05:14'), 
('103', 'Egzamin', 'Zajęcia Artystyczne', '5', '2017-01-14 22:12:34'), 
('103', 'Sprawdzian', 'Język Francuski', '6', '2016-11-23 22:06:02'), 
('103', 'Projekt', 'Godzina Wychowawcza', '5', '2016-12-23 16:51:35'), 
('103', 'Sprawdzian', 'Język Włoski', '2', '2016-09-29 15:17:36'), 
('103', 'Aktywność na lekcji', 'Zajęcia Artystyczne', '1', '2017-01-06 14:28:51'), 
('103', 'Kartkówka', 'Muzyka', '6', '2017-01-29 01:05:38'), 
('103', 'Projekt', 'Matematyka', '5', '2017-02-02 10:51:43'), 
('103', 'Egzamin', 'Geografia', '5', '2016-10-07 12:54:36'), 
('103', 'Projekt', 'Język Francuski', '1', '2016-12-07 20:09:29'), 
('103', 'Sprawdzian', 'Muzyka', '6', '2016-12-01 22:46:59'), 
('103', 'Sprawdzian', 'Plastyka', '1', '2016-12-30 05:48:52'), 
('103', 'Odpowiedź ustna', 'Język Francuski', '3', '2017-01-21 00:38:42'), 
('103', 'Odpowiedź ustna', 'Język Francuski', '4', '2016-09-18 11:53:26'), 
('103', 'Odpowiedź ustna', 'Chemia', '3', '2016-11-22 21:46:35'), 
('103', 'Kartkówka', 'Język Rosyjski', '4', '2016-11-07 23:38:04'), 
('103', 'Odpowiedź ustna', 'Chemia', '5', '2016-10-15 00:25:53'), 
('103', 'Projekt', 'Geografia', '5', '2016-09-22 08:20:09'), 
('103', 'Zachowanie', 'Matematyka', '2', '2017-02-02 04:21:09'), 
('103', 'Egzamin', 'Wiedza o Społeczeństwie', '4', '2016-11-27 21:22:05'), 
('103', 'Aktywność na lekcji', 'Chemia', '6', '2016-10-17 20:39:42'), 
('103', 'Praca dodatkowa', 'Muzyka', '3', '2016-10-09 03:22:09'), 
('103', 'Projekt', 'Godzina Wychowawcza', '3', '2016-10-31 16:47:52'), 
('103', 'Kartkówka', 'Język Włoski', '5', '2016-10-30 05:16:24'), 
('103', 'Odpowiedź ustna', 'Matematyka', '2', '2016-10-03 14:23:55'), 
('104', 'Odpowiedź ustna', 'Muzyka', '4', '2016-10-21 19:38:33'), 
('104', 'Zachowanie', 'Godzina Wychowawcza', '1', '2016-09-12 16:36:23'), 
('104', 'Kartkówka', 'Biologia', '3', '2017-01-04 01:43:57'), 
('104', 'Odpowiedź ustna', 'Wychowanie Fizyczne', '2', '2016-09-14 20:46:50'), 
('104', 'Kartkówka', 'Fizyka', '6', '2016-10-14 20:49:27'), 
('104', 'Zachowanie', 'Język Hiszpański', '2', '2016-11-14 22:01:16'), 
('104', 'Odpowiedź ustna', 'Język Włoski', '6', '2016-09-21 20:44:03'), 
('104', 'Sprawdzian', 'Język Polski', '3', '2017-01-12 02:44:56'), 
('104', 'Praca dodatkowa', 'Godzina Wychowawcza', '5', '2016-10-23 21:23:38'), 
('104', 'Aktywność na lekcji', 'Język Hiszpański', '3', '2016-11-12 21:06:41'), 
('104', 'Kartkówka', 'Język Rosyjski', '2', '2016-10-21 23:25:18'), 
('104', 'Sprawdzian', 'Religia', '1', '2017-01-26 18:34:21'), 
('104', 'Aktywność na lekcji', 'Informatyka', '4', '2016-09-11 19:28:04'), 
('104', 'Projekt', 'Plastyka', '5', '2016-12-03 19:27:27'), 
('104', 'Sprawdzian', 'Chemia', '6', '2016-10-06 02:28:52'), 
('104', 'Egzamin', 'Język Hiszpański', '4', '2017-01-16 03:19:50'), 
('104', 'Zachowanie', 'Język Rosyjski', '4', '2016-11-07 11:45:12'), 
('104', 'Kartkówka', 'Wychowanie do Życia w Rodzinie', '3', '2016-12-10 17:54:16'), 
('104', 'Zachowanie', 'Informatyka', '1', '2016-09-25 11:39:41'), 
('104', 'Sprawdzian', 'Zajęcia Artystyczne', '5', '2017-01-08 03:39:12'), 
('104', 'Zachowanie', 'Wychowanie Fizyczne', '4', '2017-01-17 03:44:35'), 
('104', 'Odpowiedź ustna', 'Biologia', '4', '2017-01-28 10:33:33'), 
('104', 'Projekt', 'Język Rosyjski', '6', '2016-11-14 02:19:07'), 
('104', 'Kartkówka', 'Wychowanie Fizyczne', '2', '2016-10-08 23:44:48'), 
('104', 'Egzamin', 'Godzina Wychowawcza', '1', '2016-10-12 08:14:52'), 
('104', 'Kartkówka', 'Godzina Wychowawcza', '6', '2016-11-24 17:37:48'), 
('104', 'Sprawdzian', 'Biologia', '3', '2016-10-26 10:20:14'), 
('104', 'Praca dodatkowa', 'Język Włoski', '6', '2017-01-06 07:21:43'), 
('104', 'Odpowiedź ustna', 'Religia', '6', '2016-12-26 20:17:34'), 
('105', 'Kartkówka', 'Język Rosyjski', '5', '2016-12-08 17:02:50'), 
('105', 'Egzamin', 'Biologia', '5', '2017-01-29 04:40:10'), 
('105', 'Egzamin', 'Fizyka', '1', '2016-12-17 14:08:37'), 
('105', 'Odpowiedź ustna', 'Zajęcia Artystyczne', '3', '2016-10-05 14:50:59'), 
('105', 'Sprawdzian', 'Język Włoski', '3', '2016-11-13 00:15:22'), 
('105', 'Projekt', 'Język Rosyjski', '5', '2016-10-06 22:13:28'), 
('105', 'Zachowanie', 'Wychowanie do Życia w Rodzinie', '4', '2016-10-19 14:17:33'), 
('105', 'Projekt', 'Biologia', '5', '2016-09-18 21:37:15'), 
('105', 'Praca dodatkowa', 'Wychowanie Fizyczne', '2', '2016-09-22 20:43:30'), 
('105', 'Praca dodatkowa', 'Godzina Wychowawcza', '3', '2016-12-26 00:17:54'), 
('105', 'Egzamin', 'Wychowanie do Życia w Rodzinie', '2', '2016-09-29 14:01:42'), 
('105', 'Sprawdzian', 'Geografia', '1', '2016-12-02 07:41:47'), 
('105', 'Aktywność na lekcji', 'Religia', '6', '2016-10-24 12:32:02'), 
('105', 'Sprawdzian', 'Informatyka', '5', '2016-11-01 06:00:34'), 
('105', 'Aktywność na lekcji', 'Muzyka', '5', '2017-01-05 22:18:17'), 
('105', 'Kartkówka', 'Język Włoski', '5', '2016-09-10 06:36:34'), 
('105', 'Projekt', 'Język Polski', '3', '2016-12-23 13:24:49'), 
('105', 'Projekt', 'Geografia', '4', '2016-12-27 13:59:22'), 
('105', 'Zachowanie', 'Technika', '1', '2017-01-30 13:29:56'), 
('105', 'Kartkówka', 'Język Rosyjski', '5', '2016-12-11 21:15:53'), 
('105', 'Odpowiedź ustna', 'Religia', '2', '2017-01-06 19:52:16'), 
('105', 'Projekt', 'Wychowanie do Życia w Rodzinie', '6', '2017-01-03 07:35:21'), 
('105', 'Aktywność na lekcji', 'Wiedza o Społeczeństwie', '2', '2016-09-13 13:02:57'), 
('105', 'Praca dodatkowa', 'Religia', '3', '2016-11-21 13:33:03'), 
('106', 'Projekt', 'Język Angielski', '4', '2016-11-11 02:02:28'), 
('106', 'Kartkówka', 'Język Włoski', '6', '2016-09-23 09:13:24'), 
('106', 'Praca dodatkowa', 'Język Polski', '6', '2017-01-31 02:18:46'), 
('106', 'Odpowiedź ustna', 'Plastyka', '1', '2016-11-23 11:21:39'), 
('106', 'Zachowanie', 'Plastyka', '4', '2016-12-28 00:42:33'), 
('106', 'Praca dodatkowa', 'Wychowanie Fizyczne', '4', '2016-09-07 00:33:18'), 
('106', 'Praca dodatkowa', 'Wychowanie do Życia w Rodzinie', '2', '2017-01-24 11:51:18'), 
('106', 'Odpowiedź ustna', 'Fizyka', '6', '2017-01-06 09:06:24'), 
('106', 'Sprawdzian', 'Wychowanie Fizyczne', '6', '2016-12-18 07:07:50'), 
('106', 'Egzamin', 'Wychowanie do Życia w Rodzinie', '1', '2016-09-12 11:47:39'), 
('106', 'Projekt', 'Godzina Wychowawcza', '2', '2016-09-29 13:39:43'), 
('106', 'Sprawdzian', 'Muzyka', '4', '2016-11-21 18:52:45'), 
('106', 'Aktywność na lekcji', 'Matematyka', '3', '2016-12-25 17:23:07'), 
('106', 'Projekt', 'Chemia', '2', '2016-11-27 20:54:01'), 
('106', 'Praca dodatkowa', 'Informatyka', '5', '2016-10-01 18:00:32'), 
('106', 'Aktywność na lekcji', 'Geografia', '2', '2017-01-07 11:03:50'), 
('106', 'Egzamin', 'Matematyka', '4', '2016-09-25 17:33:54'), 
('106', 'Praca dodatkowa', 'Język Włoski', '5', '2016-10-27 03:58:13'), 
('106', 'Egzamin', 'Informatyka', '2', '2016-11-27 07:53:46'), 
('106', 'Sprawdzian', 'Język Francuski', '4', '2016-12-27 20:45:27'), 
('106', 'Kartkówka', 'Język Włoski', '6', '2016-11-09 09:56:54'), 
('106', 'Odpowiedź ustna', 'Język Francuski', '5', '2016-10-09 23:09:18'), 
('106', 'Odpowiedź ustna', 'Zajęcia Artystyczne', '2', '2017-01-03 03:19:57'), 
('106', 'Projekt', 'Technika', '3', '2016-09-21 18:03:20'), 
('106', 'Aktywność na lekcji', 'Religia', '3', '2016-11-01 21:54:02'), 
('106', 'Kartkówka', 'Język Polski', '4', '2017-01-10 07:21:50'), 
('106', 'Egzamin', 'Język Hiszpański', '1', '2016-11-24 05:53:24'), 
('106', 'Sprawdzian', 'Język Rosyjski', '3', '2017-01-07 23:45:06'), 
('106', 'Praca dodatkowa', 'Język Włoski', '5', '2016-10-16 20:49:37'), 
('107', 'Aktywność na lekcji', 'Język Rosyjski', '3', '2016-09-30 06:49:47'), 
('107', 'Sprawdzian', 'Zajęcia Artystyczne', '4', '2016-10-17 19:01:31'), 
('107', 'Zachowanie', 'Język Polski', '5', '2017-01-27 12:39:03'), 
('107', 'Projekt', 'Wychowanie Fizyczne', '2', '2016-09-15 02:02:06'), 
('107', 'Kartkówka', 'Chemia', '6', '2016-12-07 22:09:22'), 
('107', 'Projekt', 'Język Polski', '6', '2016-10-10 15:00:09'), 
('107', 'Sprawdzian', 'Język Polski', '6', '2017-01-24 07:11:13'), 
('107', 'Odpowiedź ustna', 'Język Francuski', '1', '2017-01-07 00:56:55'), 
('107', 'Zachowanie', 'Wiedza o Społeczeństwie', '5', '2016-11-16 19:58:26'), 
('107', 'Kartkówka', 'Technika', '5', '2016-11-23 20:33:17'), 
('107', 'Sprawdzian', 'Wychowanie do Życia w Rodzinie', '1', '2016-12-07 12:46:29'), 
('107', 'Odpowiedź ustna', 'Technika', '4', '2016-12-26 15:18:16'), 
('107', 'Sprawdzian', 'Język Angielski', '1', '2016-10-22 02:53:20'), 
('107', 'Projekt', 'Język Polski', '2', '2017-01-18 19:52:07'), 
('107', 'Egzamin', 'Godzina Wychowawcza', '1', '2016-10-05 06:47:21'), 
('107', 'Kartkówka', 'Zajęcia Artystyczne', '3', '2016-12-03 14:51:20'), 
('107', 'Projekt', 'Muzyka', '2', '2016-11-09 01:46:28'), 
('107', 'Zachowanie', 'Plastyka', '3', '2016-12-17 05:13:03'), 
('107', 'Odpowiedź ustna', 'Wychowanie Fizyczne', '1', '2016-12-02 14:52:53'), 
('107', 'Kartkówka', 'Plastyka', '6', '2016-10-17 05:26:59'), 
('107', 'Egzamin', 'Wychowanie do Życia w Rodzinie', '3', '2016-12-28 02:45:07'), 
('107', 'Zachowanie', 'Godzina Wychowawcza', '6', '2016-12-21 17:14:08'), 
('107', 'Praca dodatkowa', 'Biologia', '5', '2017-01-30 20:08:16'), 
('107', 'Zachowanie', 'Plastyka', '4', '2016-11-27 17:14:15'), 
('107', 'Egzamin', 'Technika', '6', '2016-11-03 09:41:02'), 
('107', 'Aktywność na lekcji', 'Chemia', '4', '2016-11-01 23:54:51'), 
('107', 'Sprawdzian', 'Język Hiszpański', '5', '2016-09-14 05:32:16'), 
('108', 'Projekt', 'Chemia', '4', '2016-12-19 15:28:07'), 
('108', 'Odpowiedź ustna', 'Geografia', '1', '2016-11-12 07:18:29'), 
('108', 'Projekt', 'Godzina Wychowawcza', '5', '2016-12-21 10:49:58'), 
('108', 'Praca dodatkowa', 'Informatyka', '6', '2016-09-14 15:47:32'), 
('108', 'Aktywność na lekcji', 'Godzina Wychowawcza', '2', '2017-02-01 08:32:10'), 
('108', 'Odpowiedź ustna', 'Matematyka', '3', '2016-12-06 01:00:30'), 
('108', 'Sprawdzian', 'Religia', '6', '2016-09-22 02:55:08'), 
('108', 'Aktywność na lekcji', 'Biologia', '6', '2016-12-03 09:19:53'), 
('108', 'Aktywność na lekcji', 'Wiedza o Społeczeństwie', '6', '2016-11-10 17:57:55'), 
('108', 'Zachowanie', 'Matematyka', '2', '2016-10-04 14:01:14'), 
('108', 'Projekt', 'Język Angielski', '5', '2016-10-05 20:44:09'), 
('108', 'Praca dodatkowa', 'Język Polski', '6', '2016-11-07 01:40:20'), 
('108', 'Kartkówka', 'Wychowanie Fizyczne', '2', '2017-01-18 00:40:09'), 
('108', 'Egzamin', 'Religia', '4', '2017-01-12 09:05:35'), 
('108', 'Praca dodatkowa', 'Matematyka', '2', '2017-01-10 11:09:15'), 
('108', 'Zachowanie', 'Biologia', '2', '2016-09-24 16:25:42'), 
('108', 'Praca dodatkowa', 'Godzina Wychowawcza', '6', '2017-01-20 10:55:02'), 
('108', 'Sprawdzian', 'Język Angielski', '5', '2017-01-29 18:41:47'), 
('108', 'Egzamin', 'Technika', '5', '2016-11-27 15:50:10'), 
('108', 'Aktywność na lekcji', 'Wychowanie Fizyczne', '4', '2016-09-15 13:08:38'), 
('108', 'Aktywność na lekcji', 'Technika', '4', '2016-09-29 08:44:46'), 
('108', 'Projekt', 'Wychowanie do Życia w Rodzinie', '3', '2016-09-23 05:53:08'), 
('108', 'Aktywność na lekcji', 'Geografia', '6', '2016-10-26 07:38:41'), 
('108', 'Egzamin', 'Język Angielski', '1', '2016-12-08 23:17:45'), 
('108', 'Projekt', 'Matematyka', '2', '2016-11-11 17:08:42'), 
('108', 'Odpowiedź ustna', 'Język Hiszpański', '6', '2016-11-15 01:54:09'), 
('108', 'Odpowiedź ustna', 'Język Francuski', '4', '2016-12-04 04:26:43'), 
('108', 'Zachowanie', 'Język Francuski', '4', '2017-01-31 12:48:30'), 
('108', 'Egzamin', 'Godzina Wychowawcza', '4', '2017-02-02 12:24:11'), 
('109', 'Zachowanie', 'Język Hiszpański', '2', '2016-11-27 22:29:09'), 
('109', 'Egzamin', 'Język Angielski', '4', '2016-09-16 15:58:39'), 
('109', 'Egzamin', 'Godzina Wychowawcza', '2', '2017-01-28 10:11:19'), 
('109', 'Projekt', 'Muzyka', '5', '2016-12-05 13:29:14'), 
('109', 'Egzamin', 'Język Francuski', '5', '2017-01-19 13:09:37'), 
('109', 'Egzamin', 'Wychowanie do Życia w Rodzinie', '3', '2017-01-01 19:06:07'), 
('109', 'Odpowiedź ustna', 'Język Rosyjski', '5', '2016-12-23 10:34:36'), 
('109', 'Egzamin', 'Plastyka', '3', '2016-10-29 23:50:38'), 
('109', 'Praca dodatkowa', 'Język Polski', '5', '2016-10-04 20:28:48'), 
('109', 'Aktywność na lekcji', 'Fizyka', '2', '2016-09-15 12:58:44'), 
('109', 'Projekt', 'Religia', '5', '2016-12-12 02:31:46'), 
('109', 'Praca dodatkowa', 'Język Francuski', '1', '2016-11-03 03:34:51'), 
('109', 'Aktywność na lekcji', 'Plastyka', '5', '2016-10-18 20:00:36'), 
('109', 'Sprawdzian', 'Matematyka', '4', '2016-11-11 01:55:35'), 
('109', 'Praca dodatkowa', 'Wychowanie do Życia w Rodzinie', '4', '2016-10-14 18:09:01'), 
('109', 'Projekt', 'Plastyka', '6', '2016-11-27 15:07:24'), 
('109', 'Kartkówka', 'Język Angielski', '4', '2016-12-29 15:50:23'), 
('109', 'Sprawdzian', 'Informatyka', '4', '2017-01-11 10:27:51'), 
('109', 'Sprawdzian', 'Język Włoski', '1', '2016-09-20 13:00:44'), 
('109', 'Egzamin', 'Plastyka', '2', '2016-11-05 16:13:17'), 
('109', 'Zachowanie', 'Język Angielski', '6', '2016-12-12 12:49:30'), 
('109', 'Kartkówka', 'Język Angielski', '2', '2016-12-08 23:04:01'), 
('109', 'Egzamin', 'Język Rosyjski', '4', '2016-09-30 05:34:16'), 
('109', 'Odpowiedź ustna', 'Język Polski', '4', '2016-10-28 06:01:32'), 
('109', 'Kartkówka', 'Godzina Wychowawcza', '4', '2016-12-10 21:30:27'), 
('110', 'Zachowanie', 'Plastyka', '4', '2016-09-27 09:39:22'), 
('110', 'Egzamin', 'Matematyka', '3', '2016-09-07 07:08:06'), 
('110', 'Kartkówka', 'Geografia', '6', '2016-12-24 17:45:46'), 
('110', 'Aktywność na lekcji', 'Język Hiszpański', '6', '2016-11-24 12:33:16'), 
('110', 'Projekt', 'Matematyka', '4', '2017-02-02 15:08:16'), 
('110', 'Aktywność na lekcji', 'Matematyka', '6', '2016-11-16 03:51:19'), 
('110', 'Projekt', 'Informatyka', '1', '2017-01-07 18:40:52'), 
('110', 'Zachowanie', 'Język Włoski', '3', '2016-09-14 09:00:22'), 
('110', 'Praca dodatkowa', 'Technika', '6', '2016-11-24 14:11:13'), 
('110', 'Projekt', 'Zajęcia Artystyczne', '1', '2016-10-04 02:59:52'), 
('110', 'Egzamin', 'Wychowanie do Życia w Rodzinie', '1', '2017-01-09 22:32:18'), 
('110', 'Sprawdzian', 'Plastyka', '3', '2016-12-16 15:23:46'), 
('110', 'Sprawdzian', 'Chemia', '3', '2016-10-21 00:52:13'), 
('110', 'Kartkówka', 'Język Hiszpański', '2', '2016-09-27 12:36:34'), 
('110', 'Praca dodatkowa', 'Geografia', '4', '2016-10-17 02:45:46'), 
('110', 'Aktywność na lekcji', 'Religia', '1', '2016-12-02 21:01:18'), 
('110', 'Praca dodatkowa', 'Język Hiszpański', '6', '2016-09-14 13:07:48'), 
('110', 'Sprawdzian', 'Wychowanie do Życia w Rodzinie', '5', '2016-10-20 07:22:06'), 
('110', 'Sprawdzian', 'Matematyka', '3', '2017-01-05 03:51:49'), 
('110', 'Aktywność na lekcji', 'Język Polski', '5', '2016-12-17 05:46:05'), 
('110', 'Odpowiedź ustna', 'Chemia', '1', '2016-11-06 04:32:29'), 
('111', 'Odpowiedź ustna', 'Chemia', '3', '2016-09-30 15:50:32'), 
('111', 'Zachowanie', 'Religia', '5', '2016-10-31 21:47:27'), 
('111', 'Zachowanie', 'Fizyka', '5', '2017-01-02 21:40:46'), 
('111', 'Projekt', 'Fizyka', '6', '2016-09-28 03:46:54'), 
('111', 'Egzamin', 'Geografia', '3', '2016-10-26 05:37:58'), 
('111', 'Kartkówka', 'Technika', '6', '2017-01-22 03:58:29'), 
('111', 'Praca dodatkowa', 'Wychowanie Fizyczne', '4', '2016-12-29 20:16:09'), 
('111', 'Zachowanie', 'Technika', '4', '2016-09-19 13:55:53'), 
('111', 'Kartkówka', 'Fizyka', '5', '2016-10-23 19:46:19'), 
('111', 'Projekt', 'Język Włoski', '1', '2017-01-10 09:48:18'), 
('111', 'Sprawdzian', 'Język Hiszpański', '2', '2016-10-04 18:59:12'), 
('111', 'Zachowanie', 'Informatyka', '1', '2016-10-05 13:30:52'), 
('111', 'Egzamin', 'Muzyka', '2', '2016-10-01 15:55:39'), 
('111', 'Odpowiedź ustna', 'Język Francuski', '1', '2016-10-21 07:01:37'), 
('111', 'Aktywność na lekcji', 'Muzyka', '5', '2016-10-29 01:03:12'), 
('111', 'Odpowiedź ustna', 'Wychowanie do Życia w Rodzinie', '1', '2016-11-07 18:39:49'), 
('111', 'Odpowiedź ustna', 'Język Hiszpański', '5', '2016-12-04 14:05:23'), 
('111', 'Projekt', 'Język Włoski', '2', '2016-10-11 06:51:26'), 
('111', 'Sprawdzian', 'Język Angielski', '2', '2017-01-22 13:47:05'), 
('111', 'Praca dodatkowa', 'Język Hiszpański', '4', '2016-09-19 07:46:07'), 
('111', 'Odpowiedź ustna', 'Chemia', '4', '2016-10-19 00:27:09'), 
('111', 'Odpowiedź ustna', 'Technika', '5', '2016-12-20 11:23:35'), 
('111', 'Kartkówka', 'Język Francuski', '6', '2016-11-05 02:28:55'), 
('111', 'Aktywność na lekcji', 'Język Włoski', '2', '2016-11-05 19:51:52'), 
('111', 'Projekt', 'Chemia', '5', '2016-11-18 23:27:22'), 
('111', 'Odpowiedź ustna', 'Język Włoski', '3', '2017-01-25 11:56:22'), 
('111', 'Zachowanie', 'Wychowanie Fizyczne', '1', '2016-11-15 14:36:26'), 
('111', 'Kartkówka', 'Zajęcia Artystyczne', '2', '2016-12-29 19:17:37'), 
('111', 'Projekt', 'Fizyka', '1', '2017-01-04 21:47:44'), 
('111', 'Odpowiedź ustna', 'Język Polski', '2', '2016-11-05 06:18:30'), 
('112', 'Sprawdzian', 'Wychowanie Fizyczne', '5', '2016-11-30 07:40:33'), 
('112', 'Projekt', 'Język Hiszpański', '4', '2016-10-29 21:51:33'), 
('112', 'Egzamin', 'Plastyka', '2', '2016-12-16 00:08:43'), 
('112', 'Kartkówka', 'Język Rosyjski', '1', '2016-10-27 04:19:12'), 
('112', 'Zachowanie', 'Informatyka', '6', '2016-12-17 06:42:55'), 
('112', 'Zachowanie', 'Język Włoski', '3', '2016-09-18 13:55:47'), 
('112', 'Kartkówka', 'Informatyka', '3', '2016-11-24 04:32:24'), 
('112', 'Aktywność na lekcji', 'Język Rosyjski', '1', '2017-01-14 04:00:17'), 
('112', 'Sprawdzian', 'Język Angielski', '2', '2016-10-05 18:04:09'), 
('112', 'Praca dodatkowa', 'Godzina Wychowawcza', '5', '2016-11-08 09:29:48'), 
('112', 'Kartkówka', 'Geografia', '5', '2016-12-17 04:22:24'), 
('112', 'Sprawdzian', 'Muzyka', '1', '2016-09-07 07:16:02'), 
('112', 'Aktywność na lekcji', 'Wychowanie do Życia w Rodzinie', '2', '2016-11-08 16:17:31'), 
('112', 'Aktywność na lekcji', 'Technika', '2', '2016-12-20 21:22:50'), 
('112', 'Sprawdzian', 'Wiedza o Społeczeństwie', '3', '2016-11-17 20:35:02'), 
('112', 'Kartkówka', 'Język Hiszpański', '3', '2016-11-24 07:00:01'), 
('112', 'Aktywność na lekcji', 'Informatyka', '6', '2016-12-05 00:26:12'), 
('112', 'Odpowiedź ustna', 'Wychowanie Fizyczne', '4', '2016-09-09 13:37:52'), 
('112', 'Projekt', 'Informatyka', '4', '2016-11-20 08:18:49'), 
('112', 'Sprawdzian', 'Biologia', '6', '2017-02-02 22:41:40'), 
('113', 'Aktywność na lekcji', 'Matematyka', '1', '2016-12-17 04:34:58'), 
('113', 'Egzamin', 'Język Angielski', '4', '2016-09-29 18:35:09'), 
('113', 'Projekt', 'Wychowanie do Życia w Rodzinie', '2', '2016-09-30 11:58:59'), 
('113', 'Sprawdzian', 'Wiedza o Społeczeństwie', '2', '2017-01-24 06:47:14'), 
('113', 'Zachowanie', 'Język Rosyjski', '3', '2016-11-24 15:49:09'), 
